Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GAIL,EQ,03-Jan-19,350.3,350.3,352.45,346.95,350,349.95,350.51,2397912,840485757.8,53505,1339615,55.87
GAIL,EQ,04-Jan-19,349.95,350.25,353.9,347.55,353.55,353.15,351.1,1837879,645280814.3,42335,823315,44.8
GAIL,EQ,07-Jan-19,353.15,353.5,358.05,351.1,355.75,357.1,355.37,1704243,605636290.2,27721,856280,50.24
GAIL,EQ,08-Jan-19,357.1,355.6,359.15,352.8,353.35,354.6,355.15,2397084,851328337.3,39077,1651750,68.91
GAIL,EQ,09-Jan-19,354.6,356,356.25,338.05,341,341.35,343.21,6152832,2111695269,109684,2953260,48
GAIL,EQ,10-Jan-19,341.35,343,345.1,339.25,343.8,343.9,341.82,2754189,941428406.2,45578,1327329,48.19
GAIL,EQ,11-Jan-19,343.9,343.6,344.8,337.2,337.7,338.6,339.71,2535455,861311651.2,60632,1148941,45.31
GAIL,EQ,14-Jan-19,338.6,338,338.3,322.15,325.2,324.9,326.46,7970272,2601948815,97415,4209304,52.81
GAIL,EQ,15-Jan-19,324.9,323,326.95,322.05,325.4,324.55,324.35,4525559,1467886534,55809,2064714,45.62
GAIL,EQ,16-Jan-19,324.55,326,331.45,323.55,326,325.5,327.65,5083489,1665615099,69380,2372563,46.67
GAIL,EQ,17-Jan-19,325.5,328.9,333.4,326.3,332.75,332.4,330.46,4290595,1417879989,82690,2196952,51.2
GAIL,EQ,18-Jan-19,332.4,332.4,332.85,320.5,321.5,322.15,324.08,4459122,1445129756,90102,2115459,47.44
GAIL,EQ,21-Jan-19,322.15,323,328.9,320.45,327.6,327.8,326.01,3304639,1077335679,53427,1461353,44.22
GAIL,EQ,22-Jan-19,327.8,328,336,325.05,332.75,332.9,333.07,4770776,1589014370,82272,2443942,51.23
GAIL,EQ,23-Jan-19,332.9,334.95,336.5,330.55,332,334.2,334.41,3063229,1024385842,52980,1715593,56.01
GAIL,EQ,24-Jan-19,334.2,333.9,334.8,330.55,332.9,333.6,332.77,3384646,1126310393,40513,2178543,64.37
GAIL,EQ,25-Jan-19,333.6,334,337.5,330.7,335.2,334.9,334.15,3615927,1208262735,66583,2104302,58.2
GAIL,EQ,28-Jan-19,334.9,334.55,335.25,327.9,333,333.2,332.15,3799381,1261958112,79621,2450233,64.49
GAIL,EQ,29-Jan-19,333.2,331,331.1,319.65,324,323.6,325.52,6076778,1978106303,75166,3863073,63.57
GAIL,EQ,30-Jan-19,323.6,325,327.6,319.9,322,321.6,323.11,6159363,1990128291,91543,3868653,62.81
GAIL,EQ,31-Jan-19,321.6,323,333.9,322.5,333,332.15,331.21,11052707,3660808797,94136,6919681,62.61
GAIL,EQ,01-Feb-19,332.15,333.3,335.35,326.1,332,333.5,330.99,3367974,1114753742,57278,1797981,53.38
GAIL,EQ,04-Feb-19,333.5,331.15,331.8,327,330.2,329.75,329.31,1682947,554218382.5,35268,755184,44.87
GAIL,EQ,05-Feb-19,329.75,330.25,339,325.55,333.25,332.1,332.04,5703845,1893920689,62821,1180277,20.69
GAIL,EQ,06-Feb-19,332.1,336.5,340.85,330.3,340.3,339.8,336.88,4122658,1388834531,59947,1766682,42.85
GAIL,EQ,07-Feb-19,339.8,340.2,342.7,335.65,338.9,339.95,338.73,2113465,715889279.3,35022,797737,37.75
GAIL,EQ,08-Feb-19,339.95,337.55,339.5,334.4,335.35,336.35,337.41,2274544,767462278,38022,1261829,55.48
GAIL,EQ,11-Feb-19,336.35,334.3,335.4,324.35,328.95,328.4,327.66,3272495,1072267064,29759,1782888,54.48
